no,constituency,mla,party,alliance,reserved,district
224,Rafiganj,MD Nehaluddin,RJD,MGB,,Switched from RJD to JDU
225,Gurua,,,,,
226,Sherghati,Manju Agrawal,RJD,MGB,,Switched from RJD to JDU
227,Imamganj,Jitan Ram Manjhi,HAM(S),NDA,SC,Switched from RJD to JDU
228,Barachatti,Jyoti Devi,HAM(S),NDA,SC,Switched from RJD to JDU
229,Bodh Gaya,Kumar Sarvjeet,RJD,MGB,SC,Switched from RJD to JDU
230,Gaya Town,Prem Kumar,BJP,NDA,,Switched from RJD to JDU
231,Tikari,Anil Kumar,HAM(S),NDA,,Switched from RJD to JDU
232,Belaganj,Surendra Prasad Yadav,RJD,MGB,,Switched from RJD to JDU
233,Atri,Ajay Kumar Yadav,RJD,MGB,,Switched from RJD to JDU
234,Wazirganj,Birendra Singh,BJP,NDA,,Switched from RJD to JDU
235,Rajauli,,,,SC,
236,Hisua,Nitu Kumari,INC,MGB,,Switched from RJD to JDU
237,Nawada,Vibha Devi Yadav,RJD,MGB,,Switched from RJD to JDU
238,Gobindpur,Md Kamran,RJD,MGB,,Switched from RJD to JDU
239,Warsaliganj,Aruna Devi,BJP,NDA,,Switched from RJD to JDU
240,Sikandra,,,,SC,
241,Jamui,Shreyasi Singh,BJP,NDA,,Switched from RJD to JDU
242,Jhajha,Damodar Rawat,JD(U),NDA,,Switched from RJD to JDU
243,Chakai,Sumit Kumar Singh,IND,NDA,,Switched from RJD to JDU
